text	emotion	label	predicted_label	loss
That was only episode 3. I don't think I can handle much more.   So. Much. Death   Also, where the fuck is Ghost?  #GameofThrones	sadness	PESSIMISTIC	OTHER	2.7837648
USER why do you have to do this to me 😭 took one of the few people I wanted to live no matter what! Such a intense episode though. If you need me I’ll be in bed sobbing.  #GameOfThrones  #BattleOfWinterfell	sadness	PESSIMISTIC	OTHER	2.706208
USER Hope you're enjoying your vacation in France have a safe trip back so sad about Notre Dame Cathedral and to happen on Holy week is even sadder!  #NotreDameCathedralFire	sadness	PESSIMISTIC	OTHER	2.6465185
USER_twt baby I'm so sorry I didn't see this! yesterday I avoided twitter because of #GameOfThrones 😭	sadness	PESSIMISTIC	OTHER	2.6435838
GOT 2x last night and a first time matinee of Endgame this after...  Anybody got a hug they can spare?   #shook   #gameofthrones #avengersendgame	sadness	PESSIMISTIC	OTHER	2.628335
I've come to expect so much from #GOT that the latest episode left me a little disappointed. Don't get me wrong it was good, great even but just not as good as I was hoping. #GameofThrones #TheLongNight	sadness	PESSIMISTIC	OTHER	2.6121264
It's horrible, but at least it's not as horrible as it could have been. It looked as though we were going to lose the entire cathedral last night. I heard the three rose windows and the Pieta were saved. Kudos to the firefighters: https://t.co/xDDSoARKVV #NotreDameCathedralFire	sadness	PESSIMISTIC	OTHER	2.611204
USER I came to #America leaving a country like #Venezuela. After we left, people stood in lone for cooking oil, rice, water, soap, kerosene, gas. This is what the progressive left is leading us to. They don’t see it from this view point but by the time they see it - it’s too late.	sadness	PESSIMISTIC	OTHER	2.6062903
USER_Monty Honestly, it’s kinda stupid that #Endgame and #Gameofthrones are probably the 2 biggest film/tv events of the year and I can’t discuss it freely because people haven’t seen it lol.	sadness	PESSIMISTIC	OTHER	2.604205
"""all options are on the table"" National Security Adviser John Bolton just now on whether the Trump administration is prepared to use military force in #Venezuela"	sadness	PESSIMISTIC	OTHER	2.5960817
Seeing the #NotreDameCathedralFire makes me want to visit the world NOW so I don't regret being lazy and not taking risks. I'm traveling Europe on my 21st birthday. Who's coming with?	sadness	PESSIMISTIC	OTHER	2.5932755
USER USER You've been telling all of us about #Venezuela for a long time. Sorry to see what's going on in your country. Let's all hope and pray that things can change for the better very soon.	sadness	PESSIMISTIC	OTHER	2.5813985
Arya Stark TE AMO, Ídola ❤ #JuegodeTronos #AryaStark #GOT	sadness	PESSIMISTIC	OTHER	2.5746596
This will hurt for a long time... It's hard to describe what this place meant for many around the world, specially because it was something different for everyone. I'll never forget the day I was there. #NotreDameCathedralFire https://t.co/F6EIqUyNNR	sadness	PESSIMISTIC	OTHER	2.5658243
USER USER I'm emotionally spent after last night's #GameOfThrones episode. I'm not ready for the #Survivor loved ones visit this soon!	sadness	PESSIMISTIC	OTHER	2.5591621
Y’all. I watched #Endgame last night and just finished this calamity of a #GoT episode now. I also have to draft an entire chapter of my thesis by Wednesday. I am so not OK right now on so many levels. Where is my therapist?! #gameofthrones #AvengersEndame	sadness	PESSIMISTIC	OTHER	2.5547352
Shame about the #NotreDameCathedralFire apparently Quasimodo has the hump 🤔	sadness	PESSIMISTIC	OTHER	2.5535705
It is truly sad to see that this beautiful church caught on fire. we didn’t need to caught fire to learn the history. #NotreDameDeParis #NotreDame #NotreDameCathedralFire #paris #باريس #USA #Washington https://t.co/tO6Qw1n6la	sadness	PESSIMISTIC	OTHER	2.540687
1/3: I have been quiet about the #NotreDameCathedralFire because I’m been feeling despair and anger. Firstly despair, I can’t believe that such a special and beautiful structure could be nearly destroyed. Secondly anger, how could such a large fire start without anyone not...	sadness	PESSIMISTIC	OTHER	2.5364375
USER how about the millions starvting under the current dictatorship in #Venezuela do you not care about them?	disgust	DISLIKE	OTHER	2.5330298
